model,doc_id,source_file,status,reason,gt_file_exists,matched_count,gt_only_count,pred_only_count,gt_defendant_count,pred_defendant_count,llm_calls,input_tokens,output_tokens,total_tokens,fallback_errors,fallback_used
one_call,26-08-2025-Da_Nang-2ta1962683t1cvn,26-08-2025-Da_Nang-2ta1962683t1cvn.json,processed,ok,True,1,0,0,1,1,1,1581,618,2199,0,False
one_call,26-09-2024-Kon_Tum-2ta1676580t1cvn,26-09-2024-Kon_Tum-2ta1676580t1cvn.json,processed,ok,True,2,0,0,2,2,1,2182,903,3085,0,False
one_call,26-12-2024-Quang_Nam-2ta1921187t1cvn,26-12-2024-Quang_Nam-2ta1921187t1cvn.json,processed,ok,True,1,0,0,1,1,1,1506,566,2072,0,False
one_call,27-02-2024-Ho_Chi_Minh-2ta1655303t1cvn,27-02-2024-Ho_Chi_Minh-2ta1655303t1cvn.json,processed,ok,True,1,0,0,1,1,1,1738,620,2358,0,False
one_call,27-02-2025-Khanh_Hoa-2ta1962876t1cvn,27-02-2025-Khanh_Hoa-2ta1962876t1cvn.json,processed,ok,True,1,0,0,1,1,1,1619,586,2205,0,False
one_call,27-03-2025-Binh_Duong-2ta1791339t1cvn,27-03-2025-Binh_Duong-2ta1791339t1cvn.json,processed,ok,True,1,0,0,1,1,1,1528,620,2148,0,False
one_call,27-03-2025-Binh_Duong-2ta1794110t1cvn,27-03-2025-Binh_Duong-2ta1794110t1cvn.json,processed,ok,True,1,0,0,1,1,1,1368,450,1818,0,False
one_call,27-03-2025-Cao_Bang-2ta1955453t1cvn,27-03-2025-Cao_Bang-2ta1955453t1cvn.json,processed,ok,True,1,0,0,1,1,1,1562,576,2138,0,False
one_call,27-03-2025-Hai_Phong-2ta1833131t1cvn,27-03-2025-Hai_Phong-2ta1833131t1cvn.json,processed,ok,True,6,0,0,6,6,1,4264,2164,6428,0,False
one_call,27-03-2025-Lai_Chau-2ta1911271t1cvn,27-03-2025-Lai_Chau-2ta1911271t1cvn.json,processed,ok,True,1,0,0,1,1,1,1436,545,1981,0,False
one_call,27-05-2025-Ca_Mau-2ta1849385t1cvn,27-05-2025-Ca_Mau-2ta1849385t1cvn.json,processed,ok,True,1,0,0,1,1,1,1563,546,2109,0,False
one_call,27-05-2025-Tra_Vinh-2ta1828715t1cvn,27-05-2025-Tra_Vinh-2ta1828715t1cvn.json,processed,ok,True,1,0,0,1,1,1,1661,562,2223,0,False
one_call,27-06-2025-Ba_Ria_Vung_Tau-2ta1939164t1cvn,27-06-2025-Ba_Ria_Vung_Tau-2ta1939164t1cvn.json,processed,ok,True,1,0,0,1,1,1,1692,667,2359,0,False
one_call,27-06-2025-Bac_Ninh-2ta1847235t1cvn,27-06-2025-Bac_Ninh-2ta1847235t1cvn.json,processed,ok,True,1,0,0,1,1,1,1571,704,2275,0,False
one_call,27-06-2025-Ha_Tinh-2ta1949532t1cvn,27-06-2025-Ha_Tinh-2ta1949532t1cvn.json,processed,ok,True,5,0,0,5,5,1,3899,1847,5746,0,False
one_call,27-06-2025-Hai_Phong-2ta1867166t1cvn,27-06-2025-Hai_Phong-2ta1867166t1cvn.json,processed,ok,True,4,0,0,4,4,1,3444,1557,5001,0,False
one_call,27-07-2025-Thanh_Hoa-2ta1906655t1cvn,27-07-2025-Thanh_Hoa-2ta1906655t1cvn.json,processed,ok,True,1,0,0,1,1,1,1716,615,2331,0,False
one_call,27-12-2024-Bac_Kan-2ta1712863t1cvn,27-12-2024-Bac_Kan-2ta1712863t1cvn.json,processed,ok,True,3,0,0,3,3,1,2991,1657,4648,0,False
one_call,28-02-2025-Bac_Ninh-2ta1805265t1cvn,28-02-2025-Bac_Ninh-2ta1805265t1cvn.json,processed,ok,True,3,0,0,3,3,1,2841,1336,4177,0,False
one_call,28-02-2025-Ho_Chi_Minh-2ta1813255t1cvn,28-02-2025-Ho_Chi_Minh-2ta1813255t1cvn.json,processed,ok,True,2,0,0,2,2,1,1998,1160,4691,1,True
one_call,28-03-2024-Son_La-2ta1468294t1cvn,28-03-2024-Son_La-2ta1468294t1cvn.json,processed,ok,True,1,0,0,1,1,1,1506,629,2135,0,False
one_call,28-03-2025-Ha_Noi-2ta1949955t1cvn,28-03-2025-Ha_Noi-2ta1949955t1cvn.json,processed,ok,True,1,0,0,1,1,1,1523,450,1973,0,False
one_call,28-03-2025-Phu_Tho-2ta1809128t1cvn,28-03-2025-Phu_Tho-2ta1809128t1cvn.json,processed,ok,True,1,0,0,1,1,1,1461,730,2191,0,False
one_call,28-06-2024-Nam_Dinh-2ta1543376t1cvn,28-06-2024-Nam_Dinh-2ta1543376t1cvn.json,processed,ok,True,7,0,0,7,7,1,4594,2691,7285,0,False
one_call,28-08-2024-Lai_Chau-2ta1687995t1cvn,28-08-2024-Lai_Chau-2ta1687995t1cvn.json,processed,ok,True,2,0,0,2,2,1,2066,972,3038,0,False
one_call,28-08-2025-Thai_Nguyen-2ta1953705t1cvn,28-08-2025-Thai_Nguyen-2ta1953705t1cvn.json,processed,ok,True,1,0,0,1,1,1,1743,503,2246,0,False
one_call,29-01-2024-Cao_Bang-2ta1640024t1cvn,29-01-2024-Cao_Bang-2ta1640024t1cvn.json,processed,ok,True,1,0,0,1,1,1,1504,576,2080,0,False
